Rank,Team,Name,Nr,Pos,Spiele,Scorerpoints
119,VfB Concordia Britz 1916,Piet Kühn,21,TW,25,0.2
120,BFC Preussen II,Levent Mucuk,55,IV,21,0.19
121,SV Stern Britz 1889,Luca Ehrich,27,ZDM,21,0.19
122,FC Viktoria 1889 Berlin II,Vito Everett Dieckert,9,ZDM,16,0.188
123,SC Borsigwalde 1910,Marcel Bubner,19,LM,22,0.182
124,BSV Al-Dersimspor,Sam Diokhane,4,IV,22,0.182
125,SV Stern Britz 1889,Ali Mert Koca,15,ZOM,11,0.182
126,BFC Preussen II,Arda Isik,NA,LM,11,0.182
127,Köpenicker FC,Osben-Dario Ondo Mangue,2,NA,11,0.182
128,FC Internationale Berlin 1980,Milan Daus,10,ST,23,0.174
129,TSV Rudow Berlin,Mohammed Hassane,17,ZDM,29,0.172
130,Berliner SC II,Leon Ibrom,4,IV,24,0.167
131,BFC Preussen II,Atacan Özcan,22,RV,18,0.167
132,SV Stern Britz 1889,Cliff Boanu,29,LM,24,0.167
133,VfB Concordia Britz 1916,Joao Victor Souza Rosa,24,NA,18,0.167
134,Köpenicker FC,Tobias Brandt,7,RM,19,0.158
135,Berliner SC II,Dominique Leitner,5,IV,26,0.154
136,BSV Eintracht Mahlsdorf II,Mohammad Mansour,5,IV,13,0.154
137,SV Stern Britz 1889,Oguzhan Duman,19,ZOM,20,0.15
138,TSV Rudow Berlin,Ahmad Haj Youssef,19,RM,27,0.148
139,BFC Preussen II,Moris Fikic,10,ZOM,7,0.143
140,BFC Preussen II,Lukas Kohlmann,20,IV,21,0.143
141,SV Empor Berlin II,Dennis Seiler,11,IV,14,0.143
